date,open,high,low,close
2023-04-19,11941.0600,11979.2300,11829.0000,11845.4300
2023-04-20,11845.4300,11912.5100,11811.6700,11850.6900
2023-04-21,11850.6900,11945.4000,11792.0200,11803.0400
2023-04-24,11803.0400,11809.4300,11718.2200,11780.4900
2023-04-25,11780.4900,11780.4900,11590.6300,11596.2400
2023-04-26,11596.2400,11596.2400,11501.3700,11543.9100
2023-04-27,11543.9100,11605.5400,11501.0200,11570.5600
2023-04-28,11570.5600,11711.2300,11570.5600,11710.8300
2023-05-02,11710.8300,11744.2000,11646.3900,11722.7500
2023-05-03,11722.7500,11722.7500,11630.0400,11661.0100
2023-05-04,11661.0100,11717.0000,11642.4800,11697.9700
2023-05-05,11697.9700,11759.4200,11690.6000,11728.5500
2023-05-08,11728.5500,11851.0700,11728.5500,11796.3500
2023-05-09,11796.3500,11871.1000,11780.2900,11870.8700
2023-05-10,11870.8700,11870.8700,11719.5200,11777.5300
2023-05-11,11777.5300,11811.6800,11696.1700,11708.9200
2023-05-12,11708.9200,11708.9200,11630.1500,11652.7000
2023-05-15,11652.7000,11680.1600,11628.6700,11646.1900
2023-05-16,11646.1900,11852.2600,11646.1900,11806.5500
2023-05-17,11806.5500,12058.6700,11806.5500,12023.8900
2023-05-18,12023.8900,12215.5600,12023.8900,12191.0400
2023-05-19,12191.0400,12264.9400,12177.8000,12238.9000
2023-05-22,12238.9000,12239.4700,12177.6200,12215.5900
2023-05-23,12215.5900,12240.4100,12142.2100,12206.7700
2023-05-24,12206.7700,12207.3300,12095.1200,12149.1600
2023-05-25,12149.1600,12343.9700,12146.4700,12316.0800
2023-05-26,12316.0800,12603.8900,12316.0800,12595.9200
2023-05-29,12595.9200,12748.5400,12595.9200,12658.9300
2023-05-30,12658.9300,12697.4500,12622.7600,12657.7800
2023-05-31,12657.7800,12657.7800,12472.0900,12563.8700
2023-06-01,12563.8700,12563.8700,12448.4900,12467.7700
2023-06-02,12467.7700,12670.1400,12467.7700,12636.0800
2023-06-05,12636.0800,12650.9900,12587.8900,12590.6400
2023-06-06,12590.6400,12688.1300,12567.0600,12655.7900
2023-06-07,12655.7900,12804.3600,12655.7900,12804.3600
2023-06-08,12804.3600,12804.3600,12609.4100,12657.6900
2023-06-09,12657.6900,12785.2500,12657.6900,12771.2400
2023-06-12,12771.2400,12909.9900,12771.2400,12877.0100
2023-06-13,12877.0100,13163.8300,12877.0100,13138.6300
2023-06-14,13138.6300,13144.7800,13086.4200,13126.0800
2023-06-15,13126.0800,13187.3700,13107.1400,13160.8800
